timestamp,ecg,pnum,condition
1671078100.514,793,1,baseline1
1671078101.307,806,1,baseline1
1671078102.113,737,1,baseline1
1671078102.85,745,1,baseline1
1671078103.595,759,1,baseline1
1671078104.354,768,1,baseline1
1671078105.122,811,1,baseline1
1671078105.933,772,1,baseline1
1671078106.705,744,1,baseline1
1671078107.449,692,1,baseline1
1671078108.141,731,1,baseline1
1671078108.872,762,1,baseline1
1671078109.634,796,1,baseline1
1671078110.43,791,1,baseline1
1671078111.221,767,1,baseline1
1671078111.988,780,1,baseline1
1671078112.768,808,1,baseline1
1671078113.576,819,1,baseline1
1671078114.395,796,1,baseline1
1671078115.191,747,1,baseline1
1671078115.938,701,1,baseline1
1671078116.639,667,1,baseline1
1671078117.306,750,1,baseline1
1671078118.056,836,1,baseline1
1671078118.892,821,1,baseline1
1671078119.713,817,1,baseline1
1671078120.53,833,1,baseline1
1671078121.363,863,1,baseline1
1671078122.226,812,1,baseline1
1671078123.038,786,1,baseline1
1671078123.824,719,1,baseline1
1671078124.543,688,1,baseline1
1671078125.231,786,1,baseline1
1671078126.017,867,1,baseline1
1671078126.884,841,1,baseline1
1671078127.725,865,1,baseline1
1671078128.59,815,1,baseline1
1671078129.405,733,1,baseline1
1671078130.138,694,1,baseline1
1671078130.832,701,1,baseline1
1671078131.533,805,1,baseline1
1671078132.338,826,1,baseline1
1671078133.164,813,1,baseline1
1671078133.977,730,1,baseline1
1671078134.707,729,1,baseline1
1671078135.436,826,1,baseline1
1671078136.262,847,1,baseline1
1671078137.109,856,1,baseline1
1671078137.965,843,1,baseline1
1671078138.808,787,1,baseline1
1671078139.595,703,1,baseline1
1671078140.298,682,1,baseline1
1671078140.98,715,1,baseline1
1671078141.695,769,1,baseline1
1671078142.464,792,1,baseline1
1671078143.256,814,1,baseline1
1671078144.07,783,1,baseline1
1671078144.853,791,1,baseline1
1671078145.644,751,1,baseline1
1671078146.395,701,1,baseline1
1671078147.096,658,1,baseline1
1671078147.754,626,1,baseline1
1671078148.38,612,1,baseline1
1671078148.992,658,1,baseline1
1671078149.65,835,1,baseline1
1671078150.485,832,1,baseline1
1671078151.317,821,1,baseline1
1671078152.138,828,1,baseline1
1671078152.966,827,1,baseline1
1671078153.793,818,1,baseline1
1671078154.611,851,1,baseline1
1671078155.462,755,1,baseline1
1671078156.217,693,1,baseline1
1671078156.91,717,1,baseline1
1671078157.627,766,1,baseline1
1671078158.393,783,1,baseline1
1671078159.176,764,1,baseline1
1671078159.94,746,1,baseline1
1671078160.686,749,1,baseline1
